Greek,Analytical,Numerical,Absolute Error,Relative Error (%)
Delta,0.5694601832076737,0.5694601652013631,1.8006310553708715e-08,3.1619964107555664e-06
Gamma,0.03928800094473793,0.03928799820585027,2.738887658337852e-09,6.971308268370135e-06
Vega,0.19644000472368967,0.19643996445033451,4.0273355150777235e-08,2.0501605672136535e-05
Theta,-0.028696304790426883,-0.028756806132442136,6.050134201525392e-05,0.21083321513729264
Rho,0.13082755297791127,0.13082755271049962,2.674116483802891e-10,2.0440009943886857e-07
Vanna,-0.14733000354276726,-0.1473358882009279,5.884658160648648e-06,0.0039942021442634645
Volga,1.2891375309992137,1.289175500573947,3.7969574733232037e-05,0.0029453470882817075
