vix_regime,n_obs,mean_diff_bps,std_diff_bps,mae_bps,rmse_bps,median_abs_bps,p95_abs_bps
Low,8457,23.09195266353592,127.39328421373968,83.35952303311106,129.46184045034153,47.60367445422964,311.4304419936194
Normal,15145,12.28923076211855,155.73315693328996,102.22230664311131,156.21216337620828,56.86308727354955,368.5677677907903
High,10442,4.275016385276402,168.38373286453583,109.76390224340932,168.4299319190538,59.931284396974874,387.53907258288945
Crisis,8982,6.732555102113655,179.24903363640453,105.07586991248911,179.3654542531101,17.13469508872356,425.8025643328376
ALL,43026,11.307594816856083,159.24042099721584,100.94069751268066,159.63954405689057,47.99999136223643,380.8769566965863
