regime,vol_input,n,total_var,discrete_err_mean,discrete_err_var,discrete_err_cov_pct,vol_misspec_mean,vol_misspec_var,vol_misspec_cov_pct,residual_mean,residual_var,residual_cov_pct
Low,Flat BSM,500,337.12177605299456,-13.6466997904221,130.78252766570876,-38.37411735926979,-0.6434216508793523,415.9496212808524,-20.03354370682177,22.38953852164106,1439.8959162059746,158.40766106609158
Low,SVI Surface,500,399.11732525597625,-14.58103305455605,187.09328900738302,-44.50352991494791,-1.9488882489990593,521.8113852434938,-36.49211831877112,23.98373899870835,2087.5142573070207,180.99564823371907
Low,RV (Close-Close),500,386.61439885067915,-8.074887985043913,272.3114503711373,-48.36931525551102,0.0,0.0,0.0,12.756083720901916,1032.931324028384,148.36931525551103
Low,RV (Parkinson),500,514.71192026963,9.923029177668752,319.5204908931422,-60.19221685747418,22.002564954858315,241.90105810247306,-19.507420404685803,-35.32130368179467,2032.453342891014,179.69963726216
Low,RV (Yang-Zhang),500,387.261609133604,-4.327894787404788,260.57876134518784,-49.17523709329355,5.348590020212671,80.07478205668896,0.07527570229081827,2.0518769237877392,1141.1324546151725,149.09996139100272
Normal,Flat BSM,500,331.25022858748673,-20.1654738388146,201.53103047528788,-51.38991729522871,-6.248022042466293,566.860060304562,-10.126844599107992,46.120410830085824,1796.66718566069,161.5167618943367
Normal,SVI Surface,500,325.89357792329923,-21.878229205126004,279.38518952712013,-57.58967898295588,-8.575506266967313,710.7543500030174,-26.76823234788656,49.66828448717496,2386.7334463695843,184.35791133084246
Normal,RV (Close-Close),500,440.3419634921916,-9.302295288496788,411.29829116370536,-68.77322167051275,0.0,0.0,0.0,22.02964888391108,1457.3149639774435,168.77322167051278
Normal,RV (Parkinson),500,496.6908232193749,9.364258913069673,358.34640938183946,-65.67674725324753,22.340278287968232,268.91899914752304,-0.3716933844995373,-26.117458353529937,1780.9980759825246,166.04844063774703
Normal,RV (Yang-Zhang),500,438.0330345629272,-2.687259887638109,384.2455918593052,-67.03940717405091,8.399922775777634,117.8157103923,2.3631945278437088,4.943063506992096,1523.4396495688336,164.6762126462072
High,Flat BSM,500,425.8258315068397,-17.075121692331955,272.15025739339166,-58.84266845645176,5.480681486847517,647.6399211447056,6.032641057959887,30.960100303309375,2188.4502827690017,152.8100273984919
High,SVI Surface,500,394.8139118190158,-18.105642280339357,292.59913058216273,-61.74066357733974,4.483843395995378,780.1254768592277,-12.715523889264515,32.89830718377843,2618.8887274078616,174.45618746660423
High,RV (Close-Close),500,537.5927579167821,-17.14300020401661,407.47350865197876,-69.31016918503524,0.0,0.0,0.0,35.33723210212517,1690.279166645998,169.31016918503514
High,RV (Parkinson),500,763.9024806169454,13.739931553940208,555.4284805957473,-75.93883030397703,37.46250662253968,407.233657308655,-18.633677923309445,-47.14188888280373,3507.68689827102,194.57250822728642
High,RV (Yang-Zhang),500,617.6478095171494,0.07645674699896589,449.9830978139689,-73.6304547100804,21.286242072788685,284.89321388472615,-7.712580480541849,-10.795800200504107,2563.2590963761354,181.34303519062226
Crisis,Flat BSM,500,4149.775709818948,39.103256477820395,1967.9999770004463,-57.71283695418929,133.03085634807056,8522.105387266067,-4.22524784774774,-204.92266637782194,23291.466908007627,161.938084801937
Crisis,SVI Surface,500,4344.679016837638,49.67267210617903,2848.573760390389,-67.49193418030114,148.0285485972124,11151.604581779262,-35.399624280139705,-244.8777630726275,34086.81781844501,202.89155846044085
Crisis,RV (Close-Close),500,4484.357165145079,-34.413607717940685,2790.1683064198014,-67.78737270811257,0.0,0.0,0.0,24.36067195869246,13354.181281764575,167.78737270811266
Crisis,RV (Parkinson),500,7916.470333395716,96.83419426118157,6275.042280827777,-86.7143820660202,157.95949131436228,4598.115480697153,-24.5867711010649,-332.8625435528468,40767.17167737189,211.30115316708512
Crisis,RV (Yang-Zhang),500,6391.007593561636,37.81499002467909,4489.292160320252,-81.1611614045837,80.98816832132043,1433.1236542291056,-17.219986087331556,-163.4190952467447,26511.504583401213,198.3811474919152
ALL,Flat BSM,2000,1772.3476391838228,-2.9460097109370653,1237.1451151510737,-70.8114912886368,32.90502353539311,5894.943963402282,-72.08188466130466,-26.363154180696423,17873.735486536356,242.89337594994151
ALL,SVI Surface,2000,2119.8508722539145,-1.2230581084605965,1771.111720075795,-79.7301146847402,35.496999369310345,7530.693564266361,-104.42353649156813,-34.58185810074144,25113.444318534363,284.15365117630836
ALL,RV (Close-Close),2000,1573.286777576001,-17.233447798874497,1079.3990813186335,-56.85687330760268,0.0,0.0,0.0,23.620909166407657,4441.729198677938,156.85687330760268
ALL,RV (Parkinson),2000,3636.0567159963816,32.46535347646505,3258.9112134414463,-90.92991076559287,59.94121029493211,4620.105874860611,-68.8680732616713,-110.36079861774378,28570.199249845424,259.797984027264
ALL,RV (Yang-Zhang),2000,2486.3120078833786,7.719073024158791,1698.4808438974856,-77.31225603479828,29.00573079752485,1415.2324904739876,-38.51325283063234,-41.80498875411725,12890.500961091624,215.8255088654307
