moneyness,maturity,n,rmse_flat_bsm,std_flat_bsm,rmse_svi_surface,std_svi_surface,rmse_rv_cc,std_rv_cc,rmse_rv_park,std_rv_park,rmse_rv_yz,std_rv_yz,best_vol,best_rmse
atm,short,292,24.3572205781536,19.372475871702648,24.62326270730697,19.475542481377946,26.165620670688373,22.086034646899357,26.29529256582922,25.710594766317737,25.658384899583254,23.377694530486558,Flat BSM,24.3572205781536
atm,medium,167,27.425042717715826,22.49930989810503,28.10023062839316,23.670058544838422,25.379091772143184,23.11230238571869,25.632264769345102,25.68431416333917,24.019620676096864,22.955565981678518,RV (Yang-Zhang),24.019620676096864
atm,long,27,24.40383417794497,21.290132966386857,27.421072747185715,25.322151408200796,23.66244448832571,23.192114067768674,24.0535523995984,24.494154164653512,23.36441759402353,23.199986019202257,RV (Yang-Zhang),23.36441759402353
deep_otm_call,short,56,40.91227285227042,21.763607143049764,36.124687759869914,26.726167469722476,69.49516303514837,29.100181081897475,49.354319366940345,45.93975157063985,56.77464774507782,37.23254431045109,SVI Surface,36.124687759869914
deep_otm_call,medium,56,46.077397957191785,15.029347013595316,23.961526435230304,14.183863592626373,75.96301468564104,32.15632024593318,16.78360095566584,13.953255299703683,47.22876355603309,18.45950688242405,RV (Parkinson),16.78360095566584
deep_otm_put,short,81,93.94401147818006,37.28161601434091,99.15287063483268,35.03097066414427,96.6204327138065,47.19969569266889,175.8892329819765,57.089601568630144,138.40859699307353,48.61083461422437,Flat BSM,93.94401147818006
deep_otm_put,medium,119,90.07583669154305,39.084300497400356,108.41592118912592,40.47234503522612,58.585736497708226,32.59803144380195,153.76713602028522,48.89560016124336,109.7180805299021,41.63308213552821,RV (Close-Close),58.585736497708226
deep_otm_put,long,21,101.26084594311797,70.28638796510795,114.07836831662098,83.48382532027868,53.31767759381194,48.194161869749884,136.70940419829407,80.5159324886855,95.17691625945227,62.47928164057755,RV (Close-Close),53.31767759381194
otm_call,short,455,24.517025710571982,18.50960853325576,23.04681198002055,18.79161414400339,27.08096409463037,19.977968940728566,30.06384877457097,29.867844973009618,26.701844070099703,23.673241798392265,SVI Surface,23.04681198002055
otm_call,medium,261,28.848707212523408,21.699134808587388,25.636570158065844,20.693179878157355,28.00779417963004,24.322606547995637,26.19214695426075,26.165956784876528,25.891251585055482,23.896848202418372,SVI Surface,25.636570158065844
otm_call,long,48,37.48915437704876,29.170507707782345,37.24574556067712,32.28853742698789,31.41328713451881,28.808248331522847,33.668431797532925,34.019169459931305,29.848533587733105,28.198296166904797,RV (Yang-Zhang),29.848533587733105
otm_put,short,194,42.26237306332571,42.36698887785372,43.42007612242378,43.365304992762574,42.96383625325183,42.97144042751715,49.21538695841936,46.824203841066556,45.65544299821003,44.7610433902975,Flat BSM,42.26237306332571
otm_put,medium,187,32.43756303309587,32.52309517600419,47.52472451099329,47.39647007348656,25.47104810779594,25.41633972657318,53.36120471943793,47.022644968636904,36.59466294240696,35.072426409801366,RV (Close-Close),25.47104810779594
otm_put,long,33,32.95670926639785,33.42377530332343,42.960939513773596,43.523602397287156,22.9693544813236,23.05875074937599,47.18317486339574,43.26573644735412,34.375708152480875,33.07369995262727,RV (Close-Close),22.9693544813236
